                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0225,                 1.2355,                 1.0386,                 0.5726,                0.43919,                0.46979,                0.35732,                0.87175,                 1.0189,                0.96837,             0.00048074,             0.00048074,             0.00048074
                     36,                 1.0365,                 1.1825,                  1.053,                0.55768,                0.44641,                0.46586,                0.35456,                0.87091,                0.97414,                0.96305,             0.00047367,             0.00047367,             0.00047367
                     37,                 1.0089,                 1.1284,                 1.0563,                0.74073,                0.38156,                0.46248,                0.34781,                0.88986,                 1.1221,                0.97969,              0.0004666,              0.0004666,              0.0004666
                     38,                 1.0304,                 1.1624,                 1.0591,                0.59345,                 0.4078,                0.46008,                0.35138,                0.86446,                 1.0224,                0.96458,             0.00045953,             0.00045953,             0.00045953
                     39,                 1.0091,                 1.1612,                 1.0514,                0.63009,                0.43816,                 0.4868,                0.37089,                0.85679,                0.92602,                0.95703,             0.00045246,             0.00045246,             0.00045246
                     40,                 1.0322,                 1.1259,                 1.0614,                0.61582,                0.44855,                0.48474,                 0.3654,                0.86463,                  1.011,                0.96436,             0.00044539,             0.00044539,             0.00044539
                     41,                0.99004,                  1.099,                 1.0577,                0.58665,                0.46021,                0.49493,                0.37538,                0.85399,                0.91306,                0.95371,             0.00043832,             0.00043832,             0.00043832
                     42,                0.98678,                 1.0783,                  1.068,                0.68501,                 0.4272,                0.49108,                0.37128,                0.85503,                0.99303,                0.95797,             0.00043126,             0.00043126,             0.00043126
                     43,                 0.9349,                 1.0651,                 1.0192,                0.71757,                 0.4133,                0.49078,                0.37469,                 0.8682,                0.96901,                0.95957,             0.00042419,             0.00042419,             0.00042419
                     44,                  1.002,                 1.1212,                 1.0307,                0.64605,                0.44901,                0.50188,                0.38262,                0.85657,                0.91598,                0.95608,             0.00041712,             0.00041712,             0.00041712
                     45,                0.95979,                 1.0689,                 1.0411,                0.70037,                0.43851,                0.50857,                0.38875,                0.83293,                0.96043,                0.94768,             0.00041005,             0.00041005,             0.00041005
                     46,                0.93155,                 1.0476,                 1.0204,                0.63851,                0.45488,                0.50627,                 0.3867,                0.83994,                0.88577,                  0.944,             0.00040298,             0.00040298,             0.00040298
                     47,                0.93962,                  1.086,                  1.003,                0.60882,                0.48411,                0.52312,                0.39567,                 0.8292,                0.86383,                0.94217,             0.00039591,             0.00039591,             0.00039591
                     48,                0.94864,                 1.0324,                  1.007,                0.60617,                0.46773,                0.50926,                0.39155,                0.82901,                0.85934,                0.94517,             0.00038884,             0.00038884,             0.00038884
                     49,                0.95978,                 1.0418,                 1.0158,                0.70485,                0.44389,                0.51109,                0.38857,                0.83746,                0.95735,                 0.9448,             0.00038178,             0.00038178,             0.00038178
                     50,                0.97604,                 1.0307,                 1.0406,                0.66373,                0.46931,                0.52928,                0.40696,                0.81108,                0.82515,                0.93739,             0.00037471,             0.00037471,             0.00037471
                     51,                0.92449,                 1.0146,                 1.0137,                0.68349,                 0.4645,                0.52414,                0.40451,                0.81366,                0.87026,                0.93382,             0.00036764,             0.00036764,             0.00036764
                     52,                0.97808,                 1.0085,                  1.029,                  0.752,                0.44018,                0.53045,                0.40655,                0.80611,                0.83193,                0.93056,             0.00036057,             0.00036057,             0.00036057
                     53,                0.92467,                0.99399,                 1.0347,                0.64859,                0.49374,                  0.537,                0.41688,                0.79204,                0.79608,                0.92925,              0.0003535,              0.0003535,              0.0003535
                     54,                0.95759,                 1.0268,                 1.0237,                0.69176,                0.48075,                0.54509,                0.41997,                0.79654,                0.79949,                0.92631,             0.00034643,             0.00034643,             0.00034643
                     55,                0.95333,                 1.0231,                  1.022,                0.74275,                0.47312,                0.54534,                0.42091,                0.79019,                0.79532,                0.92687,             0.00033936,             0.00033936,             0.00033936
                     56,                 0.9302,                0.95065,                 1.0262,                0.65156,                0.49515,                0.53925,                 0.4147,                0.78321,                0.79649,                0.92596,              0.0003323,              0.0003323,              0.0003323
                     57,                0.94626,                0.95629,                 1.0253,                0.76452,                 0.4536,                0.53383,                0.40771,                0.79756,                0.90549,                 0.9288,             0.00032523,             0.00032523,             0.00032523
                     58,                 0.9553,                 1.0012,                 1.0256,                0.68653,                0.48378,                0.54222,                0.41884,                0.78674,                0.83422,                0.92491,             0.00031816,             0.00031816,             0.00031816
                     59,                0.93293,                 1.0066,                 1.0294,                0.66178,                0.49052,                0.54685,                0.42176,                0.78691,                0.77885,                0.92148,             0.00031109,             0.00031109,             0.00031109
                     60,                0.91543,                0.97262,                 1.0106,                0.73256,                0.48595,                0.55614,                0.42584,                0.79518,                0.76818,                0.92028,             0.00030402,             0.00030402,             0.00030402
                     61,                0.93735,                0.97063,                0.99875,                0.69874,                0.48674,                 0.5491,                0.42721,                0.77091,                 0.7846,                0.91747,             0.00029695,             0.00029695,             0.00029695
                     62,                0.90125,                0.88801,                0.99339,                0.70718,                0.50331,                 0.5658,                0.43436,                0.77697,                0.78692,                0.91916,             0.00028988,             0.00028988,             0.00028988
                     63,                0.90568,                0.90626,                 1.0078,                0.73428,                0.49241,                0.56723,                0.43964,                0.77102,                0.73872,                 0.9128,             0.00028282,             0.00028282,             0.00028282
                     64,                0.92549,                0.89397,                 1.0031,                0.74391,                0.50129,                0.57233,                 0.4412,                0.76399,                0.71619,                0.91511,             0.00027575,             0.00027575,             0.00027575
                     65,                0.93353,                0.96543,                0.99204,                0.73105,                0.47755,                0.55532,                0.43166,                0.76996,                0.74419,                0.91249,             0.00026868,             0.00026868,             0.00026868
                     66,                0.88418,                0.90137,                0.99704,                0.74988,                0.49469,                 0.5693,                0.44145,                0.76373,                0.71675,                0.91041,             0.00026161,             0.00026161,             0.00026161
                     67,                0.90782,                0.90137,                0.98464,                0.75628,                0.49777,                0.57221,                0.44421,                0.75742,                0.72555,                0.90933,             0.00025454,             0.00025454,             0.00025454
                     68,                0.87586,                0.88542,                0.99882,                0.75098,                 0.5036,                0.57562,                0.44673,                0.75492,                0.69392,                0.90914,             0.00024747,             0.00024747,             0.00024747
                     69,                0.87402,                 0.8522,                0.98439,                0.78204,                0.49746,                0.57995,                0.44926,                0.76333,                0.72736,                 0.9112,              0.0002404,              0.0002404,              0.0002404
                     70,                0.87756,                0.87482,                 0.9765,                0.71746,                0.50877,                0.58084,                0.44966,                0.75403,                 0.7094,                0.90667,             0.00023334,             0.00023334,             0.00023334
                     71,                0.87107,                0.85858,                0.98252,                0.71575,                0.50741,                0.57123,                 0.4441,                0.74586,                0.74112,                0.90534,             0.00022627,             0.00022627,             0.00022627
                     72,                0.85771,                0.83513,                0.99472,                0.75653,                0.50985,                0.58783,                0.45735,                0.74466,                0.70732,                0.90592,              0.0002192,              0.0002192,              0.0002192
                     73,                0.90959,                0.90408,                 1.0003,                0.71613,                0.52148,                0.58485,                 0.4526,                0.74255,                0.68959,                0.90138,             0.00021213,             0.00021213,             0.00021213
                     74,                0.90239,                0.87314,                0.99084,                0.75676,                0.51841,                0.59419,                 0.4586,                 0.7458,                0.65432,                0.90286,             0.00020506,             0.00020506,             0.00020506
                     75,                0.84906,                0.83052,                0.98393,                0.76102,                 0.5256,                0.59997,                 0.4653,                 0.7316,                0.65704,                0.90018,             0.00019799,             0.00019799,             0.00019799
                     76,                0.81769,                0.81873,                0.97456,                0.74179,                0.52641,                0.59525,                 0.4647,                0.73484,                0.65582,                0.89938,             0.00019092,             0.00019092,             0.00019092
                     77,                0.85077,                0.79521,                0.97981,                0.75699,                0.51394,                0.58999,                0.46106,                0.72546,                0.67012,                0.89528,             0.00018385,             0.00018385,             0.00018385
                     78,                0.82274,                0.79422,                0.96831,                0.73206,                0.53487,                0.60244,                0.46856,                0.72212,                0.64095,                0.89531,             0.00017679,             0.00017679,             0.00017679
                     79,                0.85101,                 0.7949,                0.98395,                0.73866,                0.53288,                0.59739,                0.46431,                0.72555,                0.63854,                0.89538,             0.00016972,             0.00016972,             0.00016972
                     80,                0.82697,                0.80776,                 0.9754,                0.74504,                0.52335,                0.59456,                0.46369,                0.71878,                0.67559,                0.89259,             0.00016265,             0.00016265,             0.00016265
                     81,                0.84485,                0.81213,                0.97104,                0.75324,                0.54248,                0.60968,                0.47506,                0.71424,                0.61599,                0.88877,             0.00015558,             0.00015558,             0.00015558
                     82,                0.82388,                0.78666,                0.96328,                0.75076,                0.52558,                0.59546,                0.46786,                0.71732,                 0.6398,                0.89138,             0.00014851,             0.00014851,             0.00014851
